"","season_year","unique_code","cruise","S_L","S_S","latitude","longitude","month","year","Bathylagoides.wesethi","Ceratoscopelus.townsendi","Chauliodus.macouni","Diogenichthys.atlanticus","Leuroglossus.stilbius","Lipolagus.ochotensis","Protomyctophum.crockeri","Stenobrachius.leucopsarus","Symbolophorus.californiensis","Tarletonbeania.crenularis","Triphoturus.mexicanus","Vinciguerria.lucetia","S_C","S_SC","season","line_station","sampling_extent"
"38","fall 1951","5109 BD 100 90 C1","5109 BD",100,90,29.675,-120.7833333,9,1951,10.36,33.67,0,0,0,0,0,0,0,0,23.31,303.03,5109,"BD","fall","100 90","153.3  to  70"
"39","fall 1951","5109 BD 103.3 30 C1","5109 BD",103.3,30,31.08666667,-116.4166667,9,1951,0,0,0,0,0,0,0,0,0,0,29,5,5109,"BD","fall","103.3 30","153.3  to  70"
"40","fall 1951","5109 BD 103.3 35 C1","5109 BD",103.3,35,30.925,-116.75,9,1951,9.44,2.36,0,0,0,0,0,0,2.36,0,59,30.68,5109,"BD","fall","103.3 35","153.3  to  70"
"41","fall 1951","5109 BD 103.3 40 C1","5109 BD",103.3,40,30.75833333,-117.0916667,9,1951,0,0,0,0,0,0,0,0,0,0,14.58,14.58,5109,"BD","fall","103.3 40","153.3  to  70"
"42","fall 1951","5109 CR 143.3 30 C1","5109 CR",143.3,30,24.19166667,-112.05,9,1951,0,0,0,0,0,0,0,0,0,0,0,20.76,5109,"CR","fall","143.3 30","153.3  to  70"
"43","fall 1951","5109 BD 106.7 35 C1","5109 BD",106.7,35,30.33333333,-116.3833333,9,1951,0,0,0,0,0,0,0,0,2.72,0,19.04,5.44,5109,"BD","fall","106.7 35","153.3  to  70"
"44","fall 1951","5109 CR 146.7 25 C1","5109 CR",146.7,25,23.78333333,-111.3833333,9,1951,0,0,0,0,0,0,0,0,0,0,0,11.84,5109,"CR","fall","146.7 25","153.3  to  70"
"45","fall 1951","5109 BD 80 55 C1","5109 BD",80,55,34.31666667,-120.8,9,1951,0,0,0,0,0,0,0,0,0,2.53,0,0,5109,"BD","fall","80 55","153.3  to  70"
"46","fall 1951","5109 CR 150 19 C1","5109 CR",150,19,23.4,-110.65,9,1951,0,0,0,0,0,0,0,0,0,0,0,237.36,5109,"CR","fall","150 19","153.3  to  70"
"47","fall 1951","5109 CR 150 25 C1","5109 CR",150,25,23.2,-111.0333333,9,1951,0,0,0,0,2.5,0,0,0,0,0,0,297.5,5109,"CR","fall","150 25","153.3  to  70"
"48","fall 1951","5109 CR 150 30 C1","5109 CR",150,30,23.01666667,-111.3166667,9,1951,0,0,0,0,0,0,0,0,0,0,0,33.6,5109,"CR","fall","150 30","153.3  to  70"
"49","fall 1951","5109 CR 150 40 C1","5109 CR",150,40,22.58333333,-111.975,9,1951,0,0,0,0,0,0,0,0,0,0,0,88,5109,"CR","fall","150 40","153.3  to  70"
"50","fall 1951","5109 CR 150 50 C1","5109 CR",150,50,22.28333333,-112.55,9,1951,0,0,0,0,0,0,0,0,0,0,0,15.42,5109,"CR","fall","150 50","153.3  to  70"
"51","fall 1951","5109 CR 153.3 16 C1","5109 CR",153.3,16,22.91666667,-110.125,9,1951,4.96,0,0,0,0,0,0,0,0,0,0,151.28,5109,"CR","fall","153.3 16","153.3  to  70"
"52","fall 1951","5109 PT 83.3 55 C1","5109 PT",83.3,55,33.73333333,-120.4166667,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"PT","fall","83.3 55","153.3  to  70"
"53","fall 1951","5109 CR 140 50 C1","5109 CR",140,50,24.08333333,-113.6666667,9,1951,0,0,0,0,0,0,0,0,0,0,0,40.6,5109,"CR","fall","140 50","153.3  to  70"
"54","fall 1951","5109 CR 140 60 C1","5109 CR",140,60,23.75,-114.2833333,9,1951,0,0,0,0,0,0,0,0,0,0,0,63.71,5109,"CR","fall","140 60","153.3  to  70"
"55","fall 1951","5109 BD 96.7 50 C1","5109 BD",96.7,50,31.59166667,-118.5083333,9,1951,0,0,0,0,0,0,5.48,0,0,0,16.44,8.22,5109,"BD","fall","96.7 50","153.3  to  70"
"56","fall 1951","5109 CR 143.3 35 C1","5109 CR",143.3,35,24.025,-112.375,9,1951,0,0,0,0,0,0,0,0,0,0,0,2.78,5109,"CR","fall","143.3 35","153.3  to  70"
"57","fall 1951","5109 CR 146.7 20 C1","5109 CR",146.7,20,23.93333333,-111.0666667,9,1951,0,0,0,0,0,0,0,0,0,0,2.49,54.78,5109,"CR","fall","146.7 20","153.3  to  70"
"58","fall 1951","5109 CR 120 70 C1","5109 CR",120,70,26.875,-117.2333333,9,1951,8.43,14.05,0,0,0,0,0,0,0,0,106.78,143.31,5109,"CR","fall","120 70","153.3  to  70"
"59","fall 1951","5109 BD 110 35 C1","5109 BD",110,35,29.775,-116,9,1951,0,0,0,0,0,0,0,0,0,0,40.65,0,5109,"BD","fall","110 35","153.3  to  70"
"60","fall 1951","5109 CR 120 35 C1","5109 CR",120,35,28.03333333,-114.9,9,1951,0,0,0,0,0,0,0,0,0,0,55.76,0,5109,"CR","fall","120 35","153.3  to  70"
"61","fall 1951","5109 CR 120 45 C1","5109 CR",120,45,27.70833333,-115.55,9,1951,0,0,0,0,0,0,3.03,0,0,0,12.12,3.03,5109,"CR","fall","120 45","153.3  to  70"
"62","fall 1951","5109 BD 96.7 30 C1","5109 BD",96.7,30,32.25666667,-117.1466667,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"BD","fall","96.7 30","153.3  to  70"
"63","fall 1951","5109 CR 120 80 C1","5109 CR",120,80,26.53333333,-117.9333333,9,1951,51.36,0,0,0,0,0,6.42,0,0,0,337.05,468.66,5109,"CR","fall","120 80","153.3  to  70"
"64","fall 1951","5109 CR 120 90 C1","5109 CR",120,90,26.18333333,-118.6333333,9,1951,0,2.77,0,0,0,0,0,0,0,0,47.09,13.85,5109,"CR","fall","120 90","153.3  to  70"
"65","fall 1951","5109 CR 140 40 C1","5109 CR",140,40,24.45,-113,9,1951,0,0,0,0,0,0,0,0,0,0,4.7,9.4,5109,"CR","fall","140 40","153.3  to  70"
"66","fall 1951","5109 BD 110 50 C1","5109 BD",110,50,29.275,-116.9833333,9,1951,0,2.48,0,0,0,0,0,0,2.48,0,109.12,24.8,5109,"BD","fall","110 50","153.3  to  70"
"67","fall 1951","5109 BD 96.7 40 C1","5109 BD",96.7,40,31.925,-117.8333333,9,1951,0,4.28,0,0,0,0,0,0,4.28,0,14.98,2.14,5109,"BD","fall","96.7 40","153.3  to  70"
"68","fall 1951","5109 BD 80 51 C1","5109 BD",80,51,34.44166667,-120.5416667,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"BD","fall","80 51","153.3  to  70"
"69","fall 1951","5109 BD 110 40 C1","5109 BD",110,40,29.60833333,-116.325,9,1951,0,0,0,0,0,0,0,0,0,0,14,0,5109,"BD","fall","110 40","153.3  to  70"
"70","fall 1951","5109 PT 76.7 55 C1","5109 PT",76.7,55,34.9,-121.3116667,9,1951,0,0,0,0,2.86,0,0,0,0,0,0,0,5109,"PT","fall","76.7 55","153.3  to  70"
"71","fall 1951","5109 BD 110 60 C1","5109 BD",110,60,28.94166667,-117.65,9,1951,2.65,0,0,0,0,0,2.65,0,0,0,174.9,5.3,5109,"BD","fall","110 60","153.3  to  70"
"72","fall 1951","5109 CR 140 30 C1","5109 CR",140,30,24.75833333,-112.4,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"CR","fall","140 30","153.3  to  70"
"73","fall 1951","5109 CR 140 35 C1","5109 CR",140,35,24.6,-112.7166667,9,1951,0,0,0,0,0,0,0,0,0,0,7.92,26.4,5109,"CR","fall","140 35","153.3  to  70"
"74","fall 1951","5109 PT 70 60 C1","5109 PT",70,60,35.88333333,-122.3833333,9,1951,0,0,0,0,0,0,0,0,0,2.76,0,0,5109,"PT","fall","70 60","153.3  to  70"
"75","fall 1951","5109 PT 70 70 C1","5109 PT",70,70,35.47666667,-123.1666667,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"PT","fall","70 70","153.3  to  70"
"76","fall 1951","5109 PT 70 80 C1","5109 PT",70,80,35.11666667,-123.88,9,1951,0,0,0,0,0,0,0,0,0,4.56,0,0,5109,"PT","fall","70 80","153.3  to  70"
"77","fall 1951","5109 PT 70 90 C1","5109 PT",70,90,34.88333333,-124.5,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"PT","fall","70 90","153.3  to  70"
"78","fall 1951","5109 BD 90 28 C1","5109 BD",90,28,33.475,-117.7783333,9,1951,0,0,0,0,0,0,0,0,0,0,2.73,0,5109,"BD","fall","90 28","153.3  to  70"
"79","fall 1951","5109 PT 73.3 60 C1","5109 PT",73.3,60,35.3,-121.9733333,9,1951,0,0,0,0,0,0,0,0,0,2.77,0,0,5109,"PT","fall","73.3 60","153.3  to  70"
"80","fall 1952","5210 PT 136.7 23 C1","5210 PT",136.7,23,25.57,-112.31,10,1952,0,0,0,0,0,0,0,0,0,0,1.7,42.5,5210,"PT","fall","136.7 23","136.7  to  63.3"
"81","fall 1952","5210 CR 90 53 C1","5210 CR",90,53,32.64166667,-119.4833333,10,1952,0,0,0,0,0,0,0,2.97,0,5.94,0,0,5210,"CR","fall","90 53","136.7  to  63.3"
"82","fall 1952","5210 CR 90 60 C1","5210 CR",90,60,32.46666667,-119.85,10,1952,0,0,9.12,0,0,0,2.28,0,0,0,0,6.84,5210,"CR","fall","90 60","136.7  to  63.3"
"83","fall 1952","5210 PT 136.7 30 C1","5210 PT",136.7,30,25.34166667,-112.74,10,1952,0,0,0,0,0,0,0,0,0,0,15.55,143.06,5210,"PT","fall","136.7 30","136.7  to  63.3"
"84","fall 1952","5210 PT 133.3 30 C1","5210 PT",133.3,30,25.91333333,-113.125,10,1952,0,0,0,0,0,0,0,0,0,0,3.68,0,5210,"PT","fall","133.3 30","136.7  to  63.3"
"85","fall 1952","5210 CR 90 45 C1","5210 CR",90,45,32.90833333,-118.9333333,10,1952,0,0,0,0,0,0,0,0,0,3.41,0,0,5210,"CR","fall","90 45","136.7  to  63.3"
"86","fall 1952","5210 CR 90 28 C1","5210 CR",90,28,33.49,-117.7833333,10,1952,0,0,0,0,0,0,0,0,0,0,0,2.97,5210,"CR","fall","90 28","136.7  to  63.3"
"87","fall 1952","5210 CR 90 30 C1","5210 CR",90,30,33.425,-117.9166667,10,1952,0,0,0,0,0,0,0,0,0,3.54,0,0,5210,"CR","fall","90 30","136.7  to  63.3"
"88","fall 1952","5210 PT 103.3 40 C1","5210 PT",103.3,40,30.765,-117.1033333,10,1952,2.29,0,0,0,0,0,0,0,0,0,48.09,2.29,5210,"PT","fall","103.3 40","136.7  to  63.3"
"89","fall 1952","5210 CR 66.7 55 C1","5210 CR",66.7,55,36.65,-122.4333333,10,1952,0,0,0,0,6.98,0,0,6.98,0,48.86,0,0,5210,"CR","fall","66.7 55","136.7  to  63.3"
"90","fall 1952","5210 PT 110 35 C1","5210 PT",110,35,29.70166667,-115.925,10,1952,5.13,0,0,0,0,0,0,0,0,0,25.65,20.52,5210,"PT","fall","110 35","136.7  to  63.3"
"91","fall 1952","5210 CR 80 90 C1","5210 CR",80,90,33.15,-123.2166667,10,1952,0,0,0,0,0,0,0,0,0,0,0,0,5210,"CR","fall","80 90","136.7  to  63.3"
"92","fall 1952","5210 CR 100 70 C1","5210 CR",100,70,30.34166667,-119.45,10,1952,3.26,29.34,0,9.78,0,0,3.26,0,3.26,0,58.68,593.32,5210,"CR","fall","100 70","136.7  to  63.3"
"93","fall 1952","5210 PT 106.7 35 C1","5210 PT",106.7,35,30.3,-116.3916667,10,1952,0,0,0,0,0,0,8.07,0,2.69,0,0,147.95,5210,"PT","fall","106.7 35","136.7  to  63.3"
"94","fall 1952","5210 PT 110 60 C1","5210 PT",110,60,28.91666667,-117.625,10,1952,2.99,2.99,0,2.99,0,0,0,0,0,0,77.74,29.9,5210,"PT","fall","110 60","136.7  to  63.3"
"95","fall 1952","5210 CR 66.7 65 C1","5210 CR",66.7,65,36.31666667,-123.15,10,1952,0,0,0,0,0,0,12.36,0,0,37.08,0,0,5210,"CR","fall","66.7 65","136.7  to  63.3"
"96","fall 1952","5210 PT 116.7 26 C1","5210 PT",116.7,26,28.9,-114.6583333,10,1952,0,0,0,0,0,0,0,1.61,0,0,3.22,0,5210,"PT","fall","116.7 26","136.7  to  63.3"
"97","fall 1952","5210 CR 90 70 C1","5210 CR",90,70,32.06666667,-120.6666667,10,1952,2.74,0,0,0,0,0,2.74,0,0,0,0,10.96,5210,"CR","fall","90 70","136.7  to  63.3"
"98","fall 1952","5210 PT 130 60 C1","5210 PT",130,60,25.325,-115.4416667,10,1952,0,0,0,0,0,0,0,0,0,0,24.72,12.36,5210,"PT","fall","130 60","136.7  to  63.3"
"99","fall 1952","5210 CR 80 80 C1","5210 CR",80,80,33.48333333,-122.55,10,1952,4.96,4.96,0,7.44,0,0,2.48,0,9.92,0,0,2.48,5210,"CR","fall","80 80","136.7  to  63.3"
"100","fall 1952","5210 CR 100 60 C1","5210 CR",100,60,30.68333333,-118.7916667,10,1952,0,0,0,0,0,0,0,0,0,0,14.75,0,5210,"CR","fall","100 60","136.7  to  63.3"
"101","fall 1952","5210 PT 130 50 C1","5210 PT",130,50,25.81666667,-114.7666667,10,1952,0,0,0,0,0,0,0,0,0,0,14.16,14.16,5210,"PT","fall","130 50","136.7  to  63.3"
"102","fall 1952","5210 PT 110 40 C1","5210 PT",110,40,29.55,-116.2666667,10,1952,0,0,0,0,0,0,0,0,0,0,96.8,107.8,5210,"PT","fall","110 40","136.7  to  63.3"
"103","fall 1952","5210 PT 110 50 C1","5210 PT",110,50,29.23,-116.9416667,10,1952,0,0,0,2.79,0,0,0,0,0,0,55.8,117.18,5210,"PT","fall","110 50","136.7  to  63.3"
"104","fall 1952","5210 CR 63.3 52 C1","5210 CR",63.3,52,37.31666667,-122.6,10,1952,0,0,0,0,0,0,0,0,0,0,0,0,5210,"CR","fall","63.3 52","136.7  to  63.3"
"105","fall 1952","5210 CR 70 80 C1","5210 CR",70,80,35.28333333,-123.7666667,10,1952,0,0,0,0,0,0,0,0,0,3.06,0,0,5210,"CR","fall","70 80","136.7  to  63.3"
"106","fall 1952","5210 CR 93.3 30 C1","5210 CR",93.3,30,32.825,-117.5416667,10,1952,0,0,0,0,0,0,2.27,0,0,0,0,11.35,5210,"CR","fall","93.3 30","136.7  to  63.3"
"107","fall 1952","5210 CR 93.3 40 C1","5210 CR",93.3,40,32.5,-118.2,10,1952,0,0,0,0,0,0,2.63,0,0,0,0,13.15,5210,"CR","fall","93.3 40","136.7  to  63.3"
"108","fall 1952","5210 PT 130 35 C1","5210 PT",130,35,26.30833333,-113.72,10,1952,0,0,0,0,0,0,0,0,0,0,21.24,70.8,5210,"PT","fall","130 35","136.7  to  63.3"
"109","fall 1952","5210 CR 63.3 55 C1","5210 CR",63.3,55,37.23333333,-122.8416667,10,1952,0,0,0,0,0,0,5.56,0,0,66.72,0,0,5210,"CR","fall","63.3 55","136.7  to  63.3"
"110","fall 1952","5210 PT 103.3 35 C1","5210 PT",103.3,35,30.89666667,-116.7916667,10,1952,0,0,0,0,0,0,0,0,0,0,2.2,0,5210,"PT","fall","103.3 35","136.7  to  63.3"
"111","fall 1952","5210 CR 100 40 C1","5210 CR",100,40,31.31666667,-117.4333333,10,1952,0,0,0,0,0,0,0,0,0,0,23.43,0,5210,"CR","fall","100 40","136.7  to  63.3"
"112","fall 1952","5210 CR 100 50 C1","5210 CR",100,50,31.01666667,-118.1166667,10,1952,0,0,0,0,0,0,0,0,0,0,53.55,0,5210,"CR","fall","100 50","136.7  to  63.3"
"113","fall 1952","5210 CR 70 70 C1","5210 CR",70,70,35.55,-123.1,10,1952,0,0,0,0,0,0,0,0,0,11.64,0,0,5210,"CR","fall","70 70","136.7  to  63.3"
"114","fall 1952","5210 PT 120 50 C1","5210 PT",120,50,27.54166667,-115.8583333,10,1952,0,0,0,0,0,0,0,0,0,0,86.36,38.1,5210,"PT","fall","120 50","136.7  to  63.3"
"115","fall 1952","5210 PT 120 60 C1","5210 PT",120,60,27.18333333,-116.5,10,1952,1.98,7.92,0,0,0,0,0,0,1.98,0,110.88,437.58,5210,"PT","fall","120 60","136.7  to  63.3"
"116","fall 1952","5210 CR 100 80 C1","5210 CR",100,80,30.025,-120.1166667,10,1952,2.5,0,0,5,0,0,2.5,0,2.5,0,0,137.5,5210,"CR","fall","100 80","136.7  to  63.3"
"117","fall 1952","5210 CR 96.7 50 C1","5210 CR",96.7,50,31.58333333,-118.5,10,1952,0,0,0,0,2.95,0,5.9,0,0,0,23.6,5.9,5210,"CR","fall","96.7 50","136.7  to  63.3"
"118","fall 1952","5210 PT 113.3 30 C1","5210 PT",113.3,30,29.375,-115.37,10,1952,0,0,0,0,0,0,0,0,0,0,0,0,5210,"PT","fall","113.3 30","136.7  to  63.3"
"119","fall 1952","5210 PT 113.3 40 C1","5210 PT",113.3,40,29.03333333,-115.975,10,1952,10.08,0,0,0,3.36,0,3.36,0,0,0,26.88,0,5210,"PT","fall","113.3 40","136.7  to  63.3"
"120","fall 1952","5210 CR 80 51 C1","5210 CR",80,51,34.44166667,-120.5416667,10,1952,0,0,0,0,0,0,0,0,0,0,0,0,5210,"CR","fall","80 51","136.7  to  63.3"
"121","fall 1952","5210 PT 123.3 50 C1","5210 PT",123.3,50,26.9,-115.62,10,1952,2.4,0,0,0,0,0,4.8,0,0,0,19.2,31.2,5210,"PT","fall","123.3 50","136.7  to  63.3"
"122","fall 1952","5210 PT 130 40 C1","5210 PT",130,40,26.15,-114.0833333,10,1952,6.44,3.22,0,0,0,0,0,0,0,0,57.96,109.48,5210,"PT","fall","130 40","136.7  to  63.3"
"123","fall 1952","5210 PT 126.7 50 C1","5210 PT",126.7,50,26.30833333,-115.1666667,10,1952,0,0,0,0,0,0,2.45,0,0,0,17.15,9.8,5210,"PT","fall","126.7 50","136.7  to  63.3"
"124","fall 1952","5210 CR 80 60 C1","5210 CR",80,60,34.15,-121.15,10,1952,0,0,0,0,0,0,2.58,0,0,10.32,2.58,0,5210,"CR","fall","80 60","136.7  to  63.3"
"125","fall 1952","5210 CR 70 60 C1","5210 CR",70,60,35.86666667,-122.3833333,10,1952,0,0,0,0,0,0,0,0,0,5.84,0,0,5210,"CR","fall","70 60","136.7  to  63.3"
"126","fall 1952","5210 PT 120 45 C1","5210 PT",120,45,27.69666667,-115.6,10,1952,0,0,0,0,0,0,0,0,0,0,37.6,0,5210,"PT","fall","120 45","136.7  to  63.3"
"127","fall 1952","5210 PT 120 30 C1","5210 PT",120,30,28.18666667,-114.59,10,1952,0,0,0,0,0,0,0,0,0,0,0,0,5210,"PT","fall","120 30","136.7  to  63.3"
"128","fall 1952","5210 PT 120 35 C1","5210 PT",120,35,27.98666667,-114.9466667,10,1952,0,0,0,0,0,0,0,0,0,0,9.36,4.68,5210,"PT","fall","120 35","136.7  to  63.3"
"129","fall 1952","5210 PT 120 70 C1","5210 PT",120,70,26.84166667,-117.15,10,1952,0,5.3,0,0,0,0,0,0,0,0,29.15,246.45,5210,"PT","fall","120 70","136.7  to  63.3"
"130","fall 1952","5210 CR 96.7 40 C1","5210 CR",96.7,40,31.91666667,-117.8333333,10,1952,0,0,0,0,3.19,0,9.57,0,0,3.19,73.37,0,5210,"CR","fall","96.7 40","136.7  to  63.3"
"131","fall 1952","5210 CR 73.3 50 C1","5210 CR",73.3,50,35.60833333,-121.2933333,10,1952,0,0,0,0,0,0,0,2.75,0,13.75,0,0,5210,"CR","fall","73.3 50","136.7  to  63.3"
"132","fall 1952","5210 CR 73.3 60 C1","5210 CR",73.3,60,35.3,-121.9666667,10,1952,0,0,0,0,0,0,6.24,0,0,68.64,0,0,5210,"CR","fall","73.3 60","136.7  to  63.3"
